project	functional_area	Snowflake_Db	Snowflake_Schema	object_type	object_name	signature	path
EDC	EPM	EDC_QA_EPM	CORE	TABLE	EPM_F_OPTIMFRCST_C	NA	resources/EDC_QA_EPM/CORE/TABLE/EPM_F_OPTIMFRCST_C.TABLE
EDC	EPM	EDC_QA_EPM	CORE_PUBLIC	TABLE	EDW_D_DATE_P	NA	resources/EDC_QA_EPM/CORE_PUBLIC/TABLE/EDW_D_DATE_P.TABLE
EDC	EPM	EDC_QA_EPM	CORE_PUBLIC	TABLE	EPM_F_OASIS_PRICE_P	NA	resources/EDC_QA_EPM/CORE_PUBLIC/TABLE/EPM_F_OASIS_PRICE_P.TABLE
EDC	EPM	EDC_QA_EPM	CORE_PUBLIC	TABLE	EPM_F_OASIS_PRICE_P_BKP	NA	resources/EDC_QA_EPM/CORE_PUBLIC/TABLE/EPM_F_OASIS_PRICE_P_BKP.TABLE
EDC	EPM	EDC_QA_EPM	CORE_PUBLIC	TABLE	EPM_F_OASIS_PRICE_P_BKP_131120	NA	resources/EDC_QA_EPM/CORE_PUBLIC/TABLE/EPM_F_OASIS_PRICE_P_BKP_131120.TABLE
EDC	EPM	EDC_QA_EPM	CORE_PUBLIC	TABLE	EPM_F_OASIS_PRICE_P_FINAL_BKP	NA	resources/EDC_QA_EPM/CORE_PUBLIC/TABLE/EPM_F_OASIS_PRICE_P_FINAL_BKP.TABLE
EDC	EPM	EDC_QA_EPM	ETL	TABLE	DATA_EXTRACT_METRICS	NA	resources/EDC_QA_EPM/ETL/TABLE/DATA_EXTRACT_METRICS.TABLE
EDC	EPM	EDC_QA_EPM	ETL	TABLE	EPM_F_OPTIMFRCST_ETL	NA	resources/EDC_QA_EPM/ETL/TABLE/EPM_F_OPTIMFRCST_ETL.TABLE
EDC	EPM	EDC_QA_EPM	ETL	TABLE	ETL_EPM_F_OASIS_PRICE_P_LD	NA	resources/EDC_QA_EPM/ETL/TABLE/ETL_EPM_F_OASIS_PRICE_P_LD.TABLE
EDC	EPM	EDC_QA_EPM	ETL	PROCEDURE	SP_EDW_TASK_BLOBTORAW_WRAPPER	 	resources/EDC_QA_EPM/ETL/PROCEDURE/SP_EDW_TASK_BLOBTORAW_WRAPPER.PROCEDURE
EDC	EPM	EDC_QA_EPM	ETL	FUNCTION	MYFUNC	VARCHAR, FLOAT	resources/EDC_QA_EPM/ETL/FUNCTION/MYFUNC.FUNCTION
EDC	EPM	EDC_QA_EPM	ETL	FILE_FORMAT	GENERIC_CSV_FORMAT	NA	resources/EDC_QA_EPM/ETL/FILE_FORMAT/GENERIC_CSV_FORMAT.FILE_FORMAT
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PCD808_MARKET_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PCD808_MARKET_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PCD809_PRODUCT_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PCD809_PRODUCT_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PCD834_UNIT_OF_MEASURE_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PCD834_UNIT_OF_MEASURE_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PCD849_OASIS_PRICE_TYP_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PCD849_OASIS_PRICE_TYP_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PCD850_INTRVL_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PCD850_INTRVL_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PCD871_HOLIDAY_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PCD871_HOLIDAY_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PCD900_SRCE_SYS_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PCD900_SRCE_SYS_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PPI250_V_OASIS_PRICE_DWH_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PPI250_V_OASIS_PRICE_DWH_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	CDS_PPI250_V_OASIS_PRICE_DWH_P_RESTORED	NA	resources/EDC_QA_EPM/STAGE/TABLE/CDS_PPI250_V_OASIS_PRICE_DWH_P_RESTORED.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_CONTRACT_C	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_CONTRACT_C.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_CONTRACT_C_CLONE_NOV7	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_CONTRACT_C_CLONE_NOV7.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_COUNTER_PARTIES_C	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_COUNTER_PARTIES_C.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_COUNTER_PARTIES_C_CLONE_NOV7	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_COUNTER_PARTIES_C_CLONE_NOV7.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_LOCATION_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_LOCATION_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_LOCATION_P_CLONE_NOV7	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_LOCATION_P_CLONE_NOV7.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_LOCATION_TYPE_P	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_LOCATION_TYPE_P.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_LOCATION_TYPE_P_CLONE_NOV7	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_LOCATION_TYPE_P_CLONE_NOV7.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_RESOURCE_C	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_RESOURCE_C.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EBX_DB_RESOURCE_C_CLONE_NOV7	NA	resources/EDC_QA_EPM/STAGE/TABLE/EBX_DB_RESOURCE_C_CLONE_NOV7.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	END_RA_DEAL_HEADER_C	NA	resources/EDC_QA_EPM/STAGE/TABLE/END_RA_DEAL_HEADER_C.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	END_RA_DEAL_HEADER_C_CLONE_NOV13	NA	resources/EDC_QA_EPM/STAGE/TABLE/END_RA_DEAL_HEADER_C_CLONE_NOV13.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	END_RA_DEAL_SCHEDULES_C	NA	resources/EDC_QA_EPM/STAGE/TABLE/END_RA_DEAL_SCHEDULES_C.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	END_RA_PAYMENTS_C	NA	resources/EDC_QA_EPM/STAGE/TABLE/END_RA_PAYMENTS_C.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EPM_F_OASIS_PRICE_HIST_STAGE	NA	resources/EDC_QA_EPM/STAGE/TABLE/EPM_F_OASIS_PRICE_HIST_STAGE.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EPM_F_OASIS_PRICE_HIST_STAGE_BKP	NA	resources/EDC_QA_EPM/STAGE/TABLE/EPM_F_OASIS_PRICE_HIST_STAGE_BKP.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	EPM_F_OASIS_PRICE_HIST_STAGE_V2	NA	resources/EDC_QA_EPM/STAGE/TABLE/EPM_F_OASIS_PRICE_HIST_STAGE_V2.TABLE
EDC	EPM	EDC_QA_EPM	STAGE	TABLE	GENERIC_STAGE	NA	resources/EDC_QA_EPM/STAGE/TABLE/GENERIC_STAGE.TABLE
EDC	EPM	EDC_QA_JOBMETADATA	JOBMETADATA	TABLE	JOB_ATTRIBUTES	NA	resources/EDC_QA_JOBMETADATA/JOBMETADATA/TABLE/JOB_ATTRIBUTES.TABLE
